CourseNumber,Grade
MATH2471,F
MATH2472,F
US1100,F
ENG1310,A
ENG1320,A
PHIL1305,B
COMM1310,C
MATH2358,D
MATH3398,F
BIO1320,I
BIO1421,B
CHEM1341,C
CHEM1342,D
PHYS1315,I
PHYS1325,I
PSY1300,C
SOCI1310,C
ENG2310,C
ENG2330,C
ENG2360,C
MATH3305,C
POSI2310,C
POSI2320,D
ART2313,D
DAN2313,D
MU2313,D
TH2313,D
POSI2310,D
POSI2320,D
CS3354,D
CS2318,D
CS4398,D
CS1319,D
CS1428,D
CS2308,C
CS2315,C
CS3339,C
CS3358,C
CS3398,C
CS4328,C
CS4310,C
CS4315,C
CS4332,D
CS4372,D
CS4318,D
CS4326,B
CS4371,B
CS4380,B
CS4398,B
CS4378Z,D
CS4379A,D
CS4379B,D